时间,HS,SP,date,Gree
2003/1/2,9365.52,909.03,2003/1/2,7.91
2003/1/3,9583.85,908.59,2003/1/3,7.97
2003/1/6,9665.96,929.01,2003/1/6,8.16
2003/1/7,9652.4,922.93,2003/1/7,8.16
2003/1/8,9688.21,909.93,2003/1/8,8.26
2003/1/9,9675.41,927.58,2003/1/9,8.37
2003/1/10,9721.5,927.57,2003/1/10,8.32
2003/1/13,9834.08,926.26,2003/1/13,8.28
2003/1/14,9796.31,931.66,2003/1/14,8.53
2003/1/15,9873.49,918.22,2003/1/15,8.6
2003/1/16,9743.23,914.6,2003/1/16,8.65
2003/1/17,9614.59,901.78,2003/1/17,8.49
2003/1/20,9552.02,,2003/1/20,8.45
2003/1/21,9568.47,887.62,2003/1/21,8.33
2003/1/22,9560.29,878.36,2003/1/22,8.34
2003/1/23,9584.7,887.34,2003/1/23,8.33
2003/1/24,9460.6,861.4,2003/1/24,8.38
2003/1/27,9298.67,847.48,2003/1/27,8.62
2003/1/28,9325.6,858.54,2003/1/28,8.6
2003/1/29,9240.79,864.36,2003/1/29,8.66
2003/2/10,9232.14,835.97,2003/2/10,8.64
2003/2/11,9194.91,829.2,2003/2/11,8.64
2003/2/12,9314.9,818.68,2003/2/12,8.66
2003/2/13,9173.43,817.37,2003/2/13,8.59
2003/2/14,9201.76,834.89,2003/2/14,8.61
2003/2/17,9383.68,,2003/2/17,8.54
2003/2/18,9397.05,851.17,2003/2/18,8.48
2003/2/19,9427.63,845.13,2003/2/19,8.53
2003/2/20,9390.48,837.1,2003/2/20,8.51
2003/2/21,9250.86,848.17,2003/2/21,8.39
2003/2/24,9239.47,832.58,2003/2/24,8.34
2003/2/25,9148.48,838.57,2003/2/25,8.54
2003/2/26,9116.28,827.55,2003/2/26,8.5
2003/2/27,9134.24,837.28,2003/2/27,8.46
2003/2/28,9122.66,841.15,2003/2/28,8.45
2003/3/3,9268.77,834.81,2003/3/3,8.54
2003/3/4,9181.89,821.99,2003/3/4,8.61
2003/3/5,9109.18,829.85,2003/3/5,8.69
2003/3/6,8962.26,822.1,2003/3/6,8.58
2003/3/7,8907.1,828.89,2003/3/7,8.73
2003/3/10,8861.87,807.48,2003/3/10,8.66
2003/3/11,8859.93,800.73,2003/3/11,8.6
2003/3/12,8874.99,804.19,2003/3/12,8.57
2003/3/13,8787.45,831.9,2003/3/13,8.45
2003/3/14,8956.17,833.27,2003/3/14,8.52
2003/3/17,8804.16,862.79,2003/3/17,8.69
2003/3/18,9041.51,866.45,2003/3/18,8.6
2003/3/19,9158.59,874.02,2003/3/19,8.76
2003/3/20,9194.56,875.67,2003/3/20,8.77
2003/3/21,9179.19,895.79,2003/3/21,8.79
2003/3/24,9108.45,864.23,2003/3/24,8.77
2003/3/25,9062.15,874.74,2003/3/25,8.65
2003/3/26,9047.09,869.95,2003/3/26,8.66
2003/3/27,8872.32,868.52,2003/3/27,8.89
2003/3/28,8863.36,863.5,2003/3/28,8.84
2003/3/31,8634.45,848.18,2003/3/31,8.98
2003/4/1,8596.89,858.48,2003/4/1,8.98
2003/4/2,8706.19,880.9,2003/4/2,9.01
2003/4/3,8648.16,876.45,2003/4/3,8.9
2003/4/4,8822.45,878.85,2003/4/4,8.92
2003/4/7,8962.21,879.93,2003/4/7,8.93
2003/4/8,8806.66,878.29,2003/4/8,9.01
2003/4/9,8636.85,865.99,2003/4/9,9.1
2003/4/10,8625.72,871.58,2003/4/10,9.29
2003/4/11,8645.65,868.3,2003/4/11,9.51
2003/4/14,8533.55,885.23,2003/4/14,9.9
2003/4/15,8632.1,890.81,2003/4/15,9.9
2003/4/16,8675.14,879.91,2003/4/16,10.01
2003/4/17,8579.14,893.58,2003/4/17,10.06
2003/4/18,,,2003/4/18,9.77
2003/4/21,,892.01,2003/4/21,9.27
2003/4/22,8571.91,911.37,2003/4/22,9.37
2003/4/23,8519.6,919.02,2003/4/23,9.04
2003/4/24,8442.11,911.43,2003/4/24,8.83
2003/4/25,8409.01,898.81,2003/4/25,8.75
2003/4/28,8435.04,914.84,2003/4/28,9.06
