date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2003-01-02,sz.000651,7.9900,8.1000,7.9000,7.9100,8.3400,599179,4783150.4700,3,0.281666,1,-5.160000,0
2003-01-03,sz.000651,7.9100,8.0500,7.9000,7.9700,7.9100,370229,2955621.0900,3,0.174039,1,0.760000,0
2003-01-06,sz.000651,7.9200,8.2500,7.9200,8.1600,7.9700,646224,5256830.9600,3,0.303781,1,2.380000,0
2003-01-07,sz.000651,8.1900,8.2200,8.1000,8.1600,8.1600,422101,3441666.7300,3,0.198424,1,0.000000,0
2003-01-08,sz.000651,8.1600,8.2900,8.1200,8.2600,8.1600,512476,4208901.7800,3,0.240908,1,1.230000,0
2003-01-09,sz.000651,8.2800,8.4200,8.2300,8.3700,8.2600,1072659,8948011.4700,3,0.504242,1,1.330000,0
2003-01-10,sz.000651,8.3700,8.6800,8.2800,8.3200,8.3700,1472822,12509154.8400,3,0.692353,1,-0.600000,0
2003-01-13,sz.000651,8.3400,8.4000,8.2400,8.2800,8.3200,480310,3994511.1900,3,0.225787,1,-0.480000,0
2003-01-14,sz.000651,8.2600,8.7200,8.2600,8.5300,8.2800,2239658,19172488.7800,3,1.052832,1,3.020000,0
2003-01-15,sz.000651,8.6000,8.7200,8.4500,8.6000,8.5300,1936840,16641383.8600,3,0.910481,1,0.820000,0
2003-01-16,sz.000651,8.6600,8.6800,8.5500,8.6500,8.6000,1904394,16413998.2900,3,0.895229,1,0.580000,0
2003-01-17,sz.000651,8.6600,8.6800,8.4900,8.4900,8.6500,984133,8404453.6700,3,0.462627,1,-1.850000,0
2003-01-20,sz.000651,8.4100,8.5000,8.4000,8.4500,8.4900,454797,3839128.1500,3,0.213794,1,-0.470000,0
2003-01-21,sz.000651,8.4500,8.5000,8.3300,8.3300,8.4500,501800,4215343.4000,3,0.235889,1,-1.420000,0
2003-01-22,sz.000651,8.3200,8.3800,8.2700,8.3400,8.3300,460225,3822958.1500,3,0.216345,1,0.120000,0
2003-01-23,sz.000651,8.3500,8.4400,8.3000,8.3300,8.3400,504615,4222328.5200,3,0.237212,1,-0.120000,0
2003-01-24,sz.000651,8.4400,8.4400,8.2500,8.3800,8.3300,791532,6593589.6500,3,0.372088,1,0.600000,0
2003-01-27,sz.000651,8.4000,8.6400,8.3500,8.6200,8.3800,1846789,15774509.4800,3,0.868150,1,2.860000,0
2003-01-28,sz.000651,8.6400,8.6700,8.5300,8.6000,8.6200,1959289,16831310.3800,3,0.921034,1,-0.230000,0
2003-01-29,sz.000651,8.6200,8.7600,8.5700,8.6600,8.6000,1512801,13104430.6500,3,0.711146,1,0.700000,0
2003-02-10,sz.000651,8.6500,8.8000,8.6000,8.6400,8.6600,1299165,11316046.1400,3,0.610719,1,-0.230000,0
2003-02-11,sz.000651,8.5800,8.6800,8.5800,8.6400,8.6400,639027,5499135.8800,3,0.300398,1,0.000000,0
2003-02-12,sz.000651,8.6400,8.6700,8.5900,8.6600,8.6400,668261,5766865.7500,3,0.314140,1,0.230000,0
2003-02-13,sz.000651,8.6600,8.7100,8.5800,8.5900,8.6600,1199250,10377960.4200,3,0.563751,1,-0.810000,0
2003-02-14,sz.000651,8.5900,8.6500,8.5600,8.6100,8.5900,659475,5671187.6700,3,0.310010,1,0.230000,0
2003-02-17,sz.000651,8.6000,8.6700,8.4500,8.5400,8.6100,1090150,9310047.1200,3,0.512464,1,-0.810000,0
2003-02-18,sz.000651,8.5300,8.5400,8.4500,8.4800,8.5400,442815,3761821.5500,3,0.208161,1,-0.700000,0
2003-02-19,sz.000651,8.4700,8.5300,8.4000,8.5300,8.4800,950825,8039090.9500,3,0.446969,1,0.590000,0
2003-02-20,sz.000651,8.4800,8.5800,8.4800,8.5100,8.5300,455856,3897405.4400,3,0.214291,1,-0.230000,0
2003-02-21,sz.000651,8.4800,8.5000,8.2800,8.3900,8.5100,1573526,13150876.8200,3,0.739692,1,-1.410000,0
2003-02-24,sz.000651,8.3400,8.4100,8.3300,8.3400,8.3900,341016,2856084.5400,3,0.160307,1,-0.600000,0
2003-02-25,sz.000651,8.3400,8.5400,8.3400,8.5400,8.3400,1205352,10204072.5000,3,0.566619,1,2.400000,0
2003-02-26,sz.000651,8.5300,8.5600,8.4800,8.5000,8.5400,427810,3638775.9800,3,0.201107,1,-0.470000,0
2003-02-27,sz.000651,8.5000,8.5600,8.4000,8.4600,8.5000,375110,3179813.8400,3,0.176334,1,-0.470000,0
2003-02-28,sz.000651,8.4800,8.4800,8.4000,8.4500,8.4600,416009,3511377.4800,3,0.195560,1,-0.120000,0
2003-03-03,sz.000651,8.4600,8.5600,8.4500,8.5400,8.4500,760323,6466429.0200,3,0.357417,1,1.070000,0
2003-03-04,sz.000651,8.6000,8.6300,8.5500,8.6100,8.5400,765657,6573080.9200,3,0.359925,1,0.820000,0
2003-03-05,sz.000651,8.6100,8.7000,8.5600,8.6900,8.6100,1487528,12818334.8900,3,0.699266,1,0.930000,0
2003-03-06,sz.000651,8.6500,8.7400,8.5700,8.5800,8.6900,1217279,10522603.7000,3,0.572226,1,-1.270000,0
2003-03-07,sz.000651,8.5800,8.8000,8.5200,8.7300,8.5800,3172922,27628609.9100,3,1.491546,1,1.750000,0
2003-03-10,sz.000651,8.7400,8.8500,8.6400,8.6600,8.7300,2566642,22468037.0500,3,1.206542,1,-0.800000,0
2003-03-11,sz.000651,8.6700,8.6900,8.5800,8.6000,8.6600,829361,7153266.6700,3,0.389871,1,-0.690000,0
2003-03-12,sz.000651,8.5800,8.6400,8.5000,8.5700,8.6000,1004152,8571456.3100,3,0.472038,1,-0.350000,0
2003-03-13,sz.000651,8.5900,8.5900,8.4500,8.4500,8.5700,962094,8193760.5600,3,0.452267,1,-1.400000,0
2003-03-14,sz.000651,8.4800,8.5600,8.4100,8.5200,8.4500,411466,3502915.6200,3,0.193424,1,0.830000,0
2003-03-17,sz.000651,8.5000,8.7000,8.4600,8.6900,8.5200,1530476,13190691.2500,3,0.719455,1,2.000000,0
2003-03-18,sz.000651,8.6900,8.7600,8.5700,8.6000,8.6900,714900,6204656.0200,3,0.336064,1,-1.040000,0
2003-03-19,sz.000651,8.5900,8.7900,8.5300,8.7600,8.6000,1424810,12410312.4800,3,0.669783,1,1.860000,0
2003-03-20,sz.000651,8.7400,8.8600,8.6600,8.7700,8.7600,1305386,11448256.6200,3,0.613644,1,0.110000,0
2003-03-21,sz.000651,8.7700,8.8300,8.6600,8.7900,8.7700,820320,7195742.2400,3,0.385621,1,0.230000,0
2003-03-24,sz.000651,8.8000,8.8200,8.7000,8.7700,8.7900,709988,6219421.9500,3,0.333755,1,-0.230000,0
2003-03-25,sz.000651,8.7000,8.7700,8.6100,8.6500,8.7700,835701,7262828.7000,3,0.392851,1,-1.370000,0
2003-03-26,sz.000651,8.6100,8.6900,8.5700,8.6600,8.6500,446601,3849993.5200,3,0.209941,1,0.120000,0
2003-03-27,sz.000651,8.6300,8.9500,8.6200,8.8900,8.6600,2802024,24684131.6300,3,1.317192,1,2.660000,0
2003-03-28,sz.000651,8.9000,8.9200,8.7000,8.8400,8.8900,2863306,25250226.6700,3,1.346000,1,-0.560000,0
2003-03-31,sz.000651,8.8300,9.0400,8.7800,8.9800,8.8400,2047530,18337890.6100,3,0.962515,1,1.580000,0
2003-04-01,sz.000651,8.9100,9.0300,8.9100,8.9800,8.9800,2017731,18104859.0200,3,0.948507,1,0.000000,0
2003-04-02,sz.000651,8.9900,9.0300,8.8900,9.0100,8.9800,1625667,14583664.8400,3,0.764203,1,0.330000,0
2003-04-03,sz.000651,9.0100,9.0500,8.8800,8.9000,9.0100,1320668,11839614.6700,3,0.620827,1,-1.220000,0
2003-04-04,sz.000651,8.8700,8.9600,8.8500,8.9200,8.9000,1146258,10214875.8600,3,0.538840,1,0.220000,0
2003-04-07,sz.000651,8.9300,9.0400,8.9000,8.9300,8.9200,1371696,12317107.2600,3,0.644815,1,0.110000,0
2003-04-08,sz.000651,8.9000,9.1500,8.9000,9.0100,8.9300,2410710,21848430.8100,3,1.133241,1,0.900000,0
2003-04-09,sz.000651,9.0500,9.1500,8.9100,9.1000,9.0100,3241462,29326919.5500,3,1.523766,1,1.000000,0
2003-04-10,sz.000651,9.1000,9.3500,9.1000,9.2900,9.1000,6183056,57056647.1900,3,2.906568,1,2.090000,0
