date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2013-01-04,sh.600519,212.0000,212.0000,205.0000,206.9400,209.0200,5837034,1205796538.0000,3,0.562237,1,-0.995100,0
2013-01-07,sh.600519,205.8800,205.8800,202.5000,204.2900,206.9400,4127139,840359829.0000,3,0.397536,1,-1.280600,0
2013-01-08,sh.600519,203.1800,210.8500,203.1800,210.8400,204.2900,6528698,1362186171.0000,3,0.628860,1,3.206200,0
2013-01-09,sh.600519,211.5000,217.6500,211.5000,216.4500,210.8400,5374932,1159330305.0000,3,0.517726,1,2.660800,0
2013-01-10,sh.600519,215.5800,217.0000,213.0000,214.5000,216.4500,3052786,656830931.0000,3,0.294052,1,-0.900900,0
2013-01-11,sh.600519,213.7200,215.1500,209.8800,211.2600,214.5000,3700999,784542945.0000,3,0.356489,1,-1.510500,0
2013-01-14,sh.600519,208.5000,210.3000,202.8100,209.4200,211.2600,6818358,1410483972.0000,3,0.656761,1,-0.871000,0
2013-01-15,sh.600519,208.7900,212.1000,206.8200,210.8500,209.4200,5263508,1103130868.0000,3,0.506994,1,0.682800,0
2013-01-16,sh.600519,205.0000,206.8000,203.6800,206.0000,210.8500,6950165,1427067086.0000,3,0.669457,1,-2.300200,0
2013-01-17,sh.600519,204.9900,207.6800,204.5200,205.1300,206.0000,3620185,744614971.0000,3,0.348705,1,-0.422300,0
2013-01-18,sh.600519,206.1500,206.4800,200.1100,203.7600,205.1300,5531807,1122848386.0000,3,0.532837,1,-0.667900,0
2013-01-21,sh.600519,202.8000,202.8000,196.3000,197.3100,203.7600,7477928,1482664898.0000,3,0.720292,1,-3.165500,0
2013-01-22,sh.600519,195.8100,199.7300,189.0000,198.8300,197.3100,7381541,1425054465.0000,3,0.711008,1,0.770400,0
2013-01-23,sh.600519,196.0000,199.5100,193.8000,198.9800,198.8300,5101393,1006483564.0000,3,0.491378,1,0.075400,0
2013-01-24,sh.600519,197.9000,200.1000,194.8000,195.9600,198.9800,5947438,1171137855.0000,3,0.572872,1,-1.517700,0
2013-01-25,sh.600519,189.0000,191.8000,186.1000,189.0500,195.9600,8000786,1508197810.0000,3,0.770655,1,-3.526200,0
2013-01-28,sh.600519,186.0000,187.8000,178.0000,178.5000,189.0500,15829058,2857092951.0000,3,1.524693,1,-5.580500,0
2013-01-29,sh.600519,176.0000,179.9900,172.0000,178.1600,178.5000,11544787,2034723439.0000,3,1.112022,1,-0.190500,0
2013-01-30,sh.600519,177.0500,182.4900,176.6800,180.1200,178.1600,7137678,1285436676.0000,3,0.687518,1,1.100100,0
2013-01-31,sh.600519,181.2000,181.8000,177.7700,178.9000,180.1200,3781623,678384682.0000,3,0.364255,1,-0.677300,0
2013-02-01,sh.600519,178.8800,181.7700,178.0300,178.9800,178.9000,4526564,813241680.0000,3,0.436010,1,0.044700,0
2013-02-04,sh.600519,180.0000,180.9500,174.0000,175.1300,178.9800,6496402,1142310991.0000,3,0.625749,1,-2.151100,0
2013-02-05,sh.600519,174.9500,184.5000,173.8000,184.4300,175.1300,8782540,1575281159.0000,3,0.845955,1,5.310300,0
2013-02-06,sh.600519,184.9800,185.0700,182.0000,183.9300,184.4300,4619517,849026089.0000,3,0.444963,1,-0.271100,0
2013-02-07,sh.600519,183.0000,186.5500,181.3200,185.1700,183.9300,4856791,895061569.0000,3,0.467818,1,0.674200,0
2013-02-08,sh.600519,185.1500,188.4000,184.3000,187.8600,185.1700,4157253,778273770.0000,3,0.400437,1,1.452700,0
2013-02-18,sh.600519,188.3000,188.3000,179.0000,179.6900,187.8600,5656978,1024714902.0000,3,0.544894,1,-4.349000,0
2013-02-19,sh.600519,178.9800,180.5900,176.8000,177.9200,179.6900,3773753,673362435.0000,3,0.363497,1,-0.985000,0
2013-02-20,sh.600519,177.0000,179.9800,175.0200,177.9000,177.9200,3658226,650765308.0000,3,0.352369,1,-0.011200,0
2013-02-21,sh.600519,175.2300,185.2000,175.0500,180.0200,177.9000,5383287,974530658.0000,3,0.518531,1,1.191700,0
2013-02-22,sh.600519,181.0000,186.6000,181.0000,185.5900,180.0200,6286418,1163340820.0000,3,0.605523,1,3.094100,0
2013-02-25,sh.600519,184.0000,185.3500,180.2600,181.0900,185.5900,3454909,629472576.0000,3,0.332785,1,-2.424700,0
